panel,group,Year,mean,sem,count,ci95
a,Sea stars (Asteroidea),1998,0.382457015669297,0.494104807593209,40,0.96844542288269
a,Sea stars (Asteroidea),1999,1.57709225258511,0.230123488121314,18,0.451042036717774
a,Sea stars (Asteroidea),2000,0.406417108519672,0.194415442952498,128,0.381054268186897
a,Sea stars (Asteroidea),2001,1.02569772514554,0.144268125532449,117,0.2827655260436
a,Sea stars (Asteroidea),2002,1.24732431336989,0.142989566290282,108,0.280259549928954
a,Sea stars (Asteroidea),2003,1.77893054022443,0.186204239037097,93,0.364960308512709
a,Sea stars (Asteroidea),2004,0.550319025089661,0.167413240907193,107,0.328129952178099
a,Sea stars (Asteroidea),2005,0.225013896909071,0.194711729967711,146,0.381634990736713
a,Sea stars (Asteroidea),2006,0.346338808578558,0.212825200158893,116,0.41713739231143
a,Sea stars (Asteroidea),2007,0.854189963069227,0.237348504762956,120,0.465203069335393
a,Sea stars (Asteroidea),2008,0.932590251946889,0.14938889001611,96,0.292802224431575
a,Sea stars (Asteroidea),2009,1.04657767381259,0.131342341415318,192,0.257430989174022
a,Sea stars (Asteroidea),2010,1.03930967865624,0.173914061859987,135,0.340871561245574
a,Sea stars (Asteroidea),2011,1.03015574250726,0.173055151092417,135,0.339188096141137
a,Sea stars (Asteroidea),2012,0.770156615633505,0.185807562800542,111,0.364182823089062
a,Sea stars (Asteroidea),2013,0.701377927524994,0.147302968336282,149,0.288713817939113
a,Sea stars (Asteroidea),2014,0.888226317934156,0.154622804583838,142,0.303060696984322
a,Sea stars (Asteroidea),2015,-1.21433487734784,0.218676982432304,146,0.428606885567316
a,Sea stars (Asteroidea),2016,-1.46672703687198,0.215396563469621,172,0.422177264400457
a,Sea stars (Asteroidea),2017,-1.20270998721797,0.216013809070711,148,0.423387065778593
a,Sea stars (Asteroidea),2018,-0.637011015608071,0.215649809228244,157,0.422673626087359
a,Sea stars (Asteroidea),2019,-0.842748207523898,0.241661283436852,151,0.473656115536231
a,Sea stars (Asteroidea),2021,-1.27829722665144,0.454476740636013,43,0.890774411646585
a,Sea stars (Asteroidea),2022,-2.16160489536551,0.256741446401016,120,0.503213234945992
a,Sea stars (Asteroidea),2023,-1.57736555876493,0.25645310044179,132,0.502648076865907
a,Sea stars (Asteroidea),2024,-3.93676522734428,0.500787243352008,34,0.981542996969935
a,Sea stars (Asteroidea),2025,-1.85886751385184,0.352453265464764,78,0.690808400310937
a,Sea urchins (Echinoidea),1998,-3.62759474990098,0.611849113307953,40,1.19922426208359
a,Sea urchins (Echinoidea),1999,-0.832929038561021,1.02279230615104,18,2.00467292005604
a,Sea urchins (Echinoidea),2000,0.395155719932627,0.282813157657072,128,0.554313789007861
a,Sea urchins (Echinoidea),2001,0.993949174148878,0.25923413745542,117,0.508098909412623
a,Sea urchins (Echinoidea),2002,1.33376761678334,0.364741589264793,108,0.714893514958994
a,Sea urchins (Echinoidea),2003,0.934942060991312,0.400071853809705,93,0.784140833467022
a,Sea urchins (Echinoidea),2004,-0.411839434356671,0.33758830412153,107,0.661673076078198
a,Sea urchins (Echinoidea),2005,0.180370317868214,0.284478685647317,146,0.55757822386874
a,Sea urchins (Echinoidea),2006,0.844706923136839,0.291278186934291,116,0.57090524639121
a,Sea urchins (Echinoidea),2007,0.594159275904041,0.30627572909173,120,0.60030042901979
a,Sea urchins (Echinoidea),2008,0.368760994094242,0.336615299333593,96,0.659765986693842
a,Sea urchins (Echinoidea),2009,0.482293257762516,0.225591331505024,192,0.442159009749848
a,Sea urchins (Echinoidea),2010,-0.197889590562527,0.284538891544775,135,0.557696227427759
a,Sea urchins (Echinoidea),2011,1.32289086190088,0.25385934601708,135,0.497564318193476
a,Sea urchins (Echinoidea),2012,0.967312693291676,0.264330859932184,111,0.51808848546708
a,Sea urchins (Echinoidea),2013,0.497234016558535,0.260292807302741,149,0.510173902313372
a,Sea urchins (Echinoidea),2014,-0.0809430219591082,0.264772823129212,142,0.518954733333256
a,Sea urchins (Echinoidea),2015,-1.63722864019051,0.292860417365224,146,0.574006418035839
a,Sea urchins (Echinoidea),2016,-1.61715984043214,0.263111933309617,172,0.515699389286849
a,Sea urchins (Echinoidea),2017,-1.04898120075591,0.274739179704133,148,0.5384887922201
a,Sea urchins (Echinoidea),2018,0.320769823028787,0.252440533294486,157,0.494783445257193
a,Sea urchins (Echinoidea),2019,0.0416259563857776,0.277864318051539,151,0.544614063381016
a,Sea urchins (Echinoidea),2021,-0.171010340779264,0.599872707596547,43,1.17575050688923
a,Sea urchins (Echinoidea),2022,-0.531750759973744,0.297229532919857,120,0.58256988452292
a,Sea urchins (Echinoidea),2023,-0.708712704392428,0.284921885566316,132,0.55844689570998
a,Sea urchins (Echinoidea),2024,-0.997354329419614,0.572134474744048,34,1.12138357049833
a,Sea urchins (Echinoidea),2025,-0.317348473977753,0.397807006642283,78,0.779701733018874
a,Hard corals (Scleractinia),1998,-0.623543183491585,0.673370575690839,40,1.31980632835404
a,Hard corals (Scleractinia),1999,0.633418250076542,0.95563538471563,18,1.87304535404263
a,Hard corals (Scleractinia),2000,-3.60352788379323,0.261815324074997,128,0.513158035186994
a,Hard corals (Scleractinia),2001,-2.07926857232527,0.313296715688034,117,0.614061562748547
a,Hard corals (Scleractinia),2002,-3.05528320669431,0.291581840031533,108,0.571500406461805
a,Hard corals (Scleractinia),2003,-2.17830588013154,0.349493458286371,93,0.685007178241286
a,Hard corals (Scleractinia),2004,-2.6933071406875,0.344195121831431,107,0.674622438789604
a,Hard corals (Scleractinia),2005,0.0793997559202369,0.281806504049841,146,0.552340747937688
a,Hard corals (Scleractinia),2006,-1.17943023298468,0.287680750043576,116,0.56385427008541
a,Hard corals (Scleractinia),2007,-0.0193437975842807,0.330538681052739,120,0.647855814863368
a,Hard corals (Scleractinia),2008,1.43586103008014,0.333750980850513,96,0.654151922467006
a,Hard corals (Scleractinia),2009,0.748546200718778,0.234142920700984,192,0.458920124573928
a,Hard corals (Scleractinia),2010,0.464791094167835,0.265713692370936,135,0.520798837047034
a,Hard corals (Scleractinia),2011,0.999172288995814,0.264311187936942,135,0.518049928356406
a,Hard corals (Scleractinia),2012,1.2180929091957,0.277806567072071,111,0.544500871461258
a,Hard corals (Scleractinia),2013,0.463726707181848,0.271623213508711,149,0.532381498477073
a,Hard corals (Scleractinia),2014,-0.405269706430371,0.265174562147996,142,0.519742141810072
a,Hard corals (Scleractinia),2015,1.03972868717966,0.256912638595762,146,0.503548771647693
a,Hard corals (Scleractinia),2016,0.228811031774691,0.268859512707765,172,0.526964644907219
a,Hard corals (Scleractinia),2017,0.971139882481493,0.251065505520043,148,0.492088390819284
a,Hard corals (Scleractinia),2018,0.979491985437673,0.232624049545985,157,0.455943137110131
a,Hard corals (Scleractinia),2019,0.892831214406444,0.2761596411722,151,0.541272896697512
a,Hard corals (Scleractinia),2021,0.957421041589024,0.474620259595787,43,0.930255708807743
a,Hard corals (Scleractinia),2022,0.702699679154105,0.265170810017002,120,0.519734787633324
a,Hard corals (Scleractinia),2023,0.936316159041587,0.252621798261526,132,0.495138724592591
a,Hard corals (Scleractinia),2024,0.702842209665411,0.218125261058241,34,0.427525511674152
a,Hard corals (Scleractinia),2025,1.84520805765874,0.306051402767321,78,0.59986074942395
a,Gorgonians (Holaxonia),1998,-0.671266217714573,0.564462310588859,40,1.10634612875416
a,Gorgonians (Holaxonia),1999,-1.97873705017103,1.0202110434528,18,1.99961364516748
a,Gorgonians (Holaxonia),2000,-0.00481855717803643,0.276720480721614,128,0.542372142214363
a,Gorgonians (Holaxonia),2001,0.738578987637539,0.256968491750962,117,0.503658243831885
a,Gorgonians (Holaxonia),2002,-0.0332095803806414,0.271242266140407,108,0.531634841635197
a,Gorgonians (Holaxonia),2003,0.0784791786805851,0.301973742925924,93,0.591868536134811
a,Gorgonians (Holaxonia),2004,0.470033719759866,0.272209340766703,107,0.533530307902738
a,Gorgonians (Holaxonia),2005,0.243209149036625,0.242231305850265,146,0.474773359466519
a,Gorgonians (Holaxonia),2006,1.10400259635625,0.237366951886949,116,0.465239225698419
a,Gorgonians (Holaxonia),2007,0.846511237792815,0.246008292097281,120,0.48217625251067
a,Gorgonians (Holaxonia),2008,1.54418749480346,0.223808646225429,96,0.43866494660184
a,Gorgonians (Holaxonia),2009,0.450206344211469,0.184553779884293,192,0.361725408573215
